E1111 02:34:00.693814  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_LANE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.695777  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_VEHICLE_BARRIER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.697917  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.698531  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.701309  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.701673  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_CAMERA_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.703802  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.704448  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PERSON_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.705351  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ELECFENSEDETECT_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.707600  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_VEHICLE_BARRIER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.711490  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_LANE_INFO_BATCH_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.719043  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
